Player,MPG,PPG,RPG,APG,PER,STL_PG,BLK_PG,WS/48
Russell Westbrook,34.6,31.6,10.7,10.4,30.6,1.6,0.4,0.224
James Harden,36.4,29.1,8.1,11.2,27.3,1.5,0.5,0.245
Isaiah Thomas,33.8,28.9,2.7,5.9,26.5,0.9,0.2,0.235
Anthony Davis,36.1,28,11.8,2.1,27.5,1.3,2.2,0.196
Karl-Anthony Towns,37,25.1,12.3,2.7,26,0.7,1.3,0.201
Damian Lillard,35.9,27,4.9,5.9,24.1,0.9,0.3,0.184
Demar Derozan,35.4,27.3,5.2,3.9,24,1.1,0.2,0.166
Stephen Curry,33.4,25.3,4.5,6.6,24.6,1.8,0.2,0.229
Lebron James,37.8,26.4,8.6,8.7,27,1.2,0.6,0.221
Andrew Wiggins,37.2,23.6,4,2.3,16.5,1,0.4,0.066
Kawhi Leonard,33.4,25.5,5.8,3.5,27.5,1.8,0.7,0.264
C.J. Mccollum,35,23,3.6,3.6,19.9,0.9,0.5,0.131
Giannis Antetokounmpo,35.6,22.9,8.8,5.4,26.1,1.6,1.9,0.21
Kemba Walker,34.7,23.2,3.9,5.5,21.3,1.1,0.3,0.142
Jimmy Butler,37,23.9,6.2,5.5,25.1,1.9,0.4,0.236
Kyrie Irving,35.1,25.2,3.2,5.8,23,1.2,0.3,0.17
John Wall,36.4,23.1,4.2,10.7,23.2,2,0.6,0.148
Bradley Beal,34.9,23.1,3.1,3.5,20.1,1.1,0.3,0.151
Paul George,35.9,23.7,6.6,3.3,20.2,1.6,0.4,0.127
Klay Thompson,34,22.3,3.7,2.1,17.4,0.8,0.5,0.128
Devin Booker,35,22.1,3.2,3.4,14.6,0.9,0.3,0.035
Carmelo Anthony,34.3,22.4,5.9,2.9,17.9,0.8,0.5,0.089
Gordon Hayward,34.5,21.9,5.4,3.5,22.2,1,0.3,0.199
Kevin Durant,33.4,25.1,8.3,4.8,27.6,1.1,1.6,0.277
Brook Lopez,29.6,20.5,5.4,2.3,20.4,0.5,1.7,0.105
Demarcus Cousins,34.4,27.8,10.6,4.8,26.5,1.4,1.3,0.152
Harrison Barnes,35.5,19.2,5,1.5,16.3,0.8,0.2,0.079
Goran Dragic,33.7,20.3,3.8,5.8,19.7,1.2,0.2,0.147
Marc Gasol,34.2,19.5,6.2,4.6,20.2,0.9,1.3,0.145
Mike Conley,33.2,20.5,3.5,6.3,23.2,1.3,0.3,0.209
Dennis Schroder,31.5,17.9,3.1,6.3,16.1,0.9,0.2,0.071
Eric Bledsoe,33,21.1,4.8,6.3,20.6,1.4,0.5,0.119
Kyle Lowry,37.4,22.4,4.8,7,22.9,1.5,0.3,0.216
Tobias Harris,31.3,16.1,5.1,1.7,16.9,0.7,0.5,0.129
Blake Griffin,34,21.6,8.1,4.9,22.7,1,0.4,0.179
Hassan Whiteside,32.6,17,14.1,0.7,22.6,0.7,2.1,0.181
Jeff Teague,32.4,15.3,4,7.8,19.2,1.2,0.4,0.146
Paul Millsap,34,18.1,7.7,3.7,17.8,1.3,0.9,0.132
Lamarcus Aldridge,32.4,17.3,7.3,1.9,18.6,0.6,1.2,0.149
Nikola Jokic,27.9,16.7,9.8,4.9,26.4,0.8,0.8,0.229
Eric Gordon,31,16.2,2.7,2.5,13.1,0.6,0.5,0.079
Jordan Clarkson,29.2,14.7,3,2.6,13.1,1.1,0.1,0.024
Kristaps Porzingis,32.8,18.1,7.2,1.5,17.4,0.7,2,0.1
J.J. Redick,28.2,15,2.2,1.4,14.8,0.7,0.2,0.105
Myles Turner,31.4,14.5,7.2,1.3,18.5,0.9,2.1,0.151
Evan Fournier,32.9,17.2,3.1,3,13.9,1,0.1,0.059
Nicolas Batum,34,15.1,6.2,5.9,15.8,1.1,0.4,0.083
Derrick Rose,32.5,18,3.8,4.4,17,0.7,0.3,0.068
Danilo Gallinari,33.9,18.2,5.2,2.1,17.4,0.6,0.2,0.154
Tim Hardaway,27.3,14.5,2.8,2.3,15.2,0.7,0.2,0.107
Kevin Love,31.4,19,11.1,1.9,21.1,0.9,0.4,0.163
Rudy Gobert,33.9,14,12.8,1.2,23.3,0.6,2.6,0.25
Wilson Chandler,30.9,15.7,6.5,2,14.9,0.7,0.4,0.078
Andre Drummond,29.7,13.6,13.8,1.1,20.9,1.5,1.1,0.133
Marcus Morris,32.5,14,4.6,2,12.4,0.7,0.3,0.072
Chris Paul,31.5,18.1,5,9.2,26.2,1.9,0.1,0.264
Nikola Vucevic,28.8,14.6,10.4,2.8,19.1,1,1,0.088
Dwyane Wade,29.9,18.3,4.5,3.8,18.5,1.4,0.7,0.09
Lou Williams,24.2,18.6,2.3,3.2,23.9,1.1,0.2,0.169
Otto Porter,32.6,13.4,6.4,1.5,17.3,1.4,0.5,0.173
Victor Oladipo,33.2,15.9,4.3,2.6,13.6,1.2,0.3,0.085
Markieff Morris,31.2,14,6.5,1.7,13.7,1.1,0.6,0.083
Kentavious Caldwell-Pope,33.3,13.8,3.3,2.5,12.8,1.2,0.2,0.086
Elfrid Payton,29.4,12.8,4.7,6.5,17.2,1.1,0.5,0.088
Dario Saric,26.3,12.8,6.3,2.2,12.8,0.7,0.4,0.023
Enes Kanter,21.3,14.3,6.7,0.9,23.7,0.4,0.5,0.183
Deandre Jordan,31.7,12.7,13.8,1.2,21.8,0.6,1.7,0.22
Jrue Holiday,32.7,15.4,3.9,7.3,17.1,1.5,0.6,0.084
Zach Randolph,24.5,14.1,8.2,1.7,18.5,0.5,0.1,0.086
Jabari Parker,33.9,20.1,6.2,2.8,19.1,1,0.4,0.113
Aaron Gordon,28.7,12.7,5.1,1.9,14.4,0.8,0.5,0.076
Jamal Crawford,26.3,12.3,1.6,2.6,12,0.7,0.2,0.042
Dwight Howard,29.7,13.5,12.7,1.4,20.8,0.9,1.2,0.181
Tyler Johnson,29.8,13.7,4,3.2,15.9,1.2,0.6,0.128
Jae Crowder,32.4,13.9,5.8,2.2,14.9,1,0.3,0.137
Wesley Matthews,34.2,13.5,3.5,2.9,11.9,1.1,0.2,0.06
D'Angelo Russell,28.7,15.6,3.5,4.8,15.3,1.4,0.3,0.034
Ryan Anderson,29.4,13.6,4.6,0.9,13.5,0.4,0.2,0.118
James Johnson,27.4,12.8,4.9,3.6,17,1,1.1,0.117
Julius Randle,28.8,13.2,8.6,3.6,16.3,0.7,0.5,0.08
Jonas Valanciunas,25.8,12,9.5,0.7,20.1,0.5,0.8,0.183
Al Horford,32.3,14,6.8,5,17.7,0.8,1.3,0.137
T.J. Warren,31,14.4,5.1,1.1,15.6,1.2,0.6,0.096
Greg Monroe,22.5,11.7,6.6,2.3,21.1,1.1,0.5,0.147
Trevor Ariza,34.7,11.7,5.7,2.2,12.3,1.8,0.3,0.104
Sean Kilpatrick,25.1,13.1,4,2.2,13.1,0.7,0.1,0.039
Steven Adams,29.9,11.3,7.7,1.1,16.5,1.1,1,0.13
Darren Collison,30.3,13.2,2.3,4.6,15.3,1,0.1,0.091
Seth Curry,29,12.8,2.5,2.7,15.5,1.1,0.1,0.109
Avery Bradley,33.4,16.3,6.1,2.2,14.4,1.2,0.2,0.08
Zach Lavine,37.2,18.9,3.4,3,14.6,0.9,0.2,0.082
Austin Rivers,27.8,12,2.2,2.8,11.4,0.6,0.1,0.059
Marcin Gortat,31.2,10.8,10.4,1.5,15.5,0.5,0.8,0.128
Frank Kaminsky,26.1,11.7,4.5,2.2,13,0.6,0.5,0.056
Robert Covington,31.6,12.9,6.5,1.5,13.2,1.9,1,0.071
Gary Harris,31.3,14.9,3.1,2.9,16.5,1.2,0.1,0.124
Marvin Williams,30.2,11.2,6.6,1.4,13.7,0.8,0.7,0.105
Serge Ibaka,30.5,15.1,6.8,1.1,17.5,0.6,1.6,0.108
Allen Crabbe,28.5,10.7,2.8,1.2,11.6,0.7,0.3,0.088
Robin Lopez,28,10.4,6.4,1,14.4,0.2,1.4,0.09
Ricky Rubio,32.9,11.1,4.1,9.1,16.8,1.7,0.1,0.119
Marcus Smart,30.4,10.6,3.9,4.6,12,1.6,0.4,0.064
Courtney Lee,31.9,10.8,3.4,2.3,12.1,1.1,0.3,0.081
George Hill,31.5,16.9,3.4,4.1,19.3,1,0.2,0.182
Will Barton,28.4,13.7,4.3,3.4,15.5,0.8,0.5,0.093
Clint Capela,23.9,12.6,8.1,1,21.4,0.5,1.2,0.185
Gorgui Dieng,32.4,10,7.9,1.9,14.2,1.1,1.2,0.103
C.J. Miles,23.4,10.7,3,0.6,13.7,0.6,0.3,0.109
Thaddeus Young,30.2,11,6.1,1.6,14.9,1.5,0.4,0.099
Jamal Murray,21.5,9.9,2.6,2.1,11.9,0.6,0.3,0.037
Kent Bazemore,26.9,11,3.2,2.4,11.5,1.2,0.7,0.053
Pau Gasol,25.4,12.4,7.8,2.3,20.2,0.4,1.1,0.189
Nick Young,25.9,13.2,2.3,1,14.1,0.6,0.2,0.098
Ersan Ilyasova,27.3,14.8,5.9,1.8,15.4,0.6,0.3,0.087
Bojan Bogdanovic,26.9,14.2,3.6,1.6,13.1,0.4,0.1,0.053
Marco Belinelli,24,10.5,2.4,2,13.3,0.6,0.1,0.088
Draymond Green,32.5,10.2,7.9,7,16.5,2,1.4,0.16
Maurice Harkless,28.9,10,4.4,1.2,13.2,1.1,0.9,0.092
Shabazz Muhammad,19.4,9.9,2.8,0.4,14.9,0.3,0.1,0.086
Dirk Nowitzki,26.4,14.2,6.5,1.5,17,0.6,0.7,0.084
Jon Leuer,25.9,10.2,5.4,1.5,14.2,0.4,0.3,0.112
Malcolm Brogdon,26.4,10.2,2.8,4.2,14.9,1.1,0.2,0.1
Patty Mills,21.9,9.5,1.8,3.5,15.2,0.8,0,0.139
Ish Smith,24.1,9.4,2.9,5.2,14.7,0.8,0.4,0.076
Nik Stauskas,27.4,9.4,2.8,2.4,9,0.6,0.4,0.031
Marquese Chriss,21.3,9.2,4.2,0.7,12.3,0.8,0.9,0.05
Reggie Jackson,27.4,14.5,2.2,5.2,14.9,0.7,0.1,0.065
Rodney Hood,27,12.7,3.4,1.6,12.4,0.6,0.2,0.078
Nikola Mirotic,24,10.6,5.5,1.1,14.5,0.8,0.8,0.108
Michael Kidd-Gilchrist,29,9.2,7,1.4,14.3,1,1,0.119
